tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2021,2021,2021-04-11,The Masters #2,536,"Matsuyama, Hideki",13562,1,1,Augusta National Golf Club,14,72,1,9:48am,69,2.315,1.793,0.985,0.43,3.207,5.523,283.8,0.714,0.722,1.0,44.273,38.172,7.0,3.0,1,2,14,1,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Matsuyama, Hideki",13562,1,2,Augusta National Golf Club,14,72,1,1:00pm,71,-1.732,1.479,0.291,1.292,3.062,1.33,301.9,0.786,0.778,0.429,38.792,38.045,3.0,3.0,1,2,12,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Matsuyama, Hideki",13562,1,3,Augusta National Golf Club,14,72,1,1:30pm,65,1.796,1.318,5.635,-1.322,5.63,7.426,298.5,0.357,0.667,0.714,50.73,10.42,7.0,3.0,1,5,12,0,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Matsuyama, Hideki",13562,1,4,Augusta National Golf Club,14,72,1,2:40pm,73,-1.473,1.014,-0.911,1.0,1.103,-0.37,304.3,0.714,0.611,0.636,166.794,36.691,4.0,5.0,0,4,9,5,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Zalatoris, Will",19428,2,1,Augusta National Golf Club,14,72,1,8:48am,70,1.538,-0.108,1.994,1.099,2.985,4.523,302.0,0.643,0.778,0.571,35.775,38.183,6.0,2.0,1,3,11,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Zalatoris, Will",19428,2,2,Augusta National Golf Club,14,72,1,11:54am,68,3.375,0.022,-0.676,1.608,0.954,4.33,301.1,0.857,0.611,0.6,27.118,44.845,5.0,3.0,0,5,12,1,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Zalatoris, Will",19428,2,3,Augusta National Golf Club,14,72,1,2:20pm,71,0.294,-0.437,1.097,0.472,1.132,1.426,307.2,0.714,0.778,0.4,173.17,31.818,3.0,2.0,0,4,11,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Zalatoris, Will",19428,2,4,Augusta National Golf Club,14,72,1,2:20pm,70,-0.343,0.793,1.456,0.724,2.972,2.63,310.2,0.571,0.778,0.625,51.043,37.047,5.0,6.0,0,5,10,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Schauffele, Xander",19895,T3,1,Augusta National Golf Club,14,72,1,10:42am,72,-0.156,0.599,1.619,0.461,2.679,2.523,303.2,0.714,0.778,0.333,49.942,38.261,4.0,3.0,0,3,12,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Schauffele, Xander",19895,T3,2,Augusta National Golf Club,14,72,1,1:48pm,69,-0.919,1.29,1.686,1.272,4.248,3.33,314.0,0.857,0.833,0.75,,29.377,6.0,5.0,0,5,11,2,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Schauffele, Xander",19895,T3,3,Augusta National Golf Club,14,72,1,1:30pm,68,0.819,2.523,1.186,-0.102,3.607,4.426,309.8,0.571,0.611,0.875,62.608,27.826,4.0,6.0,1,4,11,2,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Schauffele, Xander",19895,T3,4,Augusta National Golf Club,14,72,1,2:40pm,72,-0.813,1.636,-1.888,1.695,1.442,0.63,324.7,0.786,0.611,0.583,65.039,28.463,7.0,7.0,0,7,7,2,2
pga,2021,2021,2021-04-11,The Masters #2,536,"Spieth, Jordan",14636,T3,1,Augusta National Golf Club,14,72,1,2:00pm,71,-1.174,2.859,1.184,0.653,4.697,3.523,303.2,0.786,0.889,0.6,80.089,32.139,4.0,4.0,1,3,12,1,1
pga,2021,2021,2021-04-11,The Masters #2,536,"Spieth, Jordan",14636,T3,2,Augusta National Golf Club,14,72,1,10:54am,68,0.372,2.454,0.75,0.753,3.958,4.33,299.8,0.786,0.778,0.75,18.005,31.422,4.0,2.0,0,5,12,1,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Spieth, Jordan",14636,T3,3,Augusta National Golf Club,14,72,1,2:00pm,72,-2.487,1.088,0.253,1.572,2.913,0.426,307.1,0.786,0.778,0.375,51.135,38.744,3.0,6.0,0,4,11,2,1
pga,2021,2021,2021-04-11,The Masters #2,536,"Spieth, Jordan",14636,T3,4,Augusta National Golf Club,14,72,1,2:10pm,70,-0.214,0.396,2.289,0.159,2.844,2.63,302.9,0.643,0.667,0.375,102.968,24.189,4.0,1.0,0,6,8,4,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Leishman, Marc",7649,T5,1,Augusta National Golf Club,14,72,1,12:12pm,72,0.496,2.468,0.516,-0.958,2.027,2.523,287.4,0.429,0.611,0.375,88.691,31.503,5.0,3.0,0,4,10,4,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Leishman, Marc",7649,T5,2,Augusta National Golf Club,14,72,1,9:00am,67,0.982,0.406,3.214,0.727,4.347,5.33,300.0,0.714,0.722,0.857,37.328,24.221,3.0,0.0,0,6,11,1,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Leishman, Marc",7649,T5,3,Augusta National Golf Club,14,72,1,2:10pm,70,0.505,0.165,1.677,0.078,1.921,2.426,306.9,0.5,0.722,0.714,29.028,38.201,0.0,0.0,0,4,12,2,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Leishman, Marc",7649,T5,4,Augusta National Golf Club,14,72,1,2:30pm,73,-0.242,1.075,0.456,-1.66,-0.128,-0.37,287.9,0.429,0.5,0.625,37.584,31.817,1.0,5.0,0,3,11,4,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Rahm, Jon",19195,T5,1,Augusta National Golf Club,14,72,1,10:42am,72,-0.937,3.239,-1.682,1.903,3.46,2.523,305.7,0.786,0.611,0.778,54.907,47.245,6.0,4.0,0,2,14,2,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Rahm, Jon",19195,T5,2,Augusta National Golf Club,14,72,1,1:48pm,72,-0.632,1.179,-1.615,1.398,0.962,0.33,310.2,0.714,0.611,0.714,39.233,30.948,1.0,4.0,0,3,12,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Rahm, Jon",19195,T5,3,Augusta National Golf Club,14,72,1,11:40am,72,0.269,-1.449,-0.646,2.252,0.157,0.426,310.0,0.857,0.722,0.5,39.597,32.141,2.0,5.0,0,4,10,4,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Rahm, Jon",19195,T5,4,Augusta National Golf Club,14,72,1,12:30pm,66,1.638,0.568,3.155,1.269,4.992,6.63,314.8,0.643,0.833,1.0,75.743,20.929,6.0,2.0,1,4,13,0,0
